Publishing_Year;Book_Name;Author;Language_Code;Author_Rating;Average_Rating;Rating_Count;Gross_Sales_EUR;Publisher_Revenue_EUR;Publisher;Adapted_to_Film;Genre
1975;Beowulf;Unknown, Seamus Heaney;en;Novice;3.42;155903;34160.00;20496.00;Harper;1;Classic
1987;Batman: Year One;Frank Miller, David Mazzucchelli, Richmond Lewis, Dennis O'Neil;en;Intermediate;4.23;145267;12437.50;7462.50;Harper;1;Graphic Novel
2015;Go Set a Watchman;Harper Lee;en;Novice;3.31;138669;47795.00;28677.00;Amazon Digital Services,  Inc,;0;Historical Fiction
2008;When You Are Engulfed in Flames;David Sedaris;en;Intermediate;4.04;150898;41250.00;24750.00;Hachette;0;Nonfiction
2011;Daughter of Smoke & Bone;Laini Taylor;en;Excellent;4.04;198283;37952.50;22771.50;Penguin;1;Fantasy
2015;Red Queen;Victoria Aveyard;en;Intermediate;4.08;83354;19960.00;0.00;Amazon Digital Services,  Inc,;0;Fantasy
2011;The Power of Habit;Charles Duhigg;en;Intermediate;4.03;155977;27491670.00;16495002.00;Harper;0;Nonfiction
1994;Midnight in the Garden of Good and Evil;John Berendt;en;Intermediate;3.90;167997;26182.00;15709.20;Hachette;1;Nonfiction
2012;Hopeless;Colleen Hoover;en;Excellent;4.34;189938;26093670.00;15656202.00;Harper;0;Romance
2004;The Truth About Forever;Sarah Dessen;en;Excellent;4.13;179415;17964.00;0.00;Amazon Digital Services,  Inc,;0;Romance
1954;The horse and his boy;C,S, Lewis;en;Excellent;3.90;189671;21564.00;12938.40;Penguin;1;Fantasy
2010;Last Sacrifice ;Richelle Mead;en;Excellent;4.42;206792;3431.34;0.00;Amazon Digital Services,  Inc,;0;Fantasy
1935;Little House on the Prairie;Laura Ingalls Wilder, Garth Williams;en;Excellent;4.18;195424;6897340.00;4138404.00;Harper;1;Historical Fiction
1974;Zen and the Art of Motorcycle Maintenance;Robert M, Pirsig;en;Intermediate;3.76;139411;16297.34;0.00;Amazon Digital Services,  Inc,;0;Nonfiction
2006;Pretty Little Liars;Sara Shepard;en;Intermediate;3.90;156328;15968.00;0.00;Amazon Digital Services,  Inc,;1;Thriller
1948;Corduroy;Don Freeman;en;Intermediate;4.28;160860;6234670.00;3740802.00;Simon and Schuster Digital Sales Inc;1;Children’s
2006;The Omnivore's Dilemma;Michael Pollan;en;Excellent;4.17;133271;3035.34;0.00;Amazon Digital Services,  Inc,;0;Nonfiction
2013;Life After Life;Kate Atkinson;en;Intermediate;3.74;138454;11702.67;0.00;Amazon Digital Services,  Inc,;1;Historical Fiction
2000;The Rescue;Nicholas Sparks;en;Excellent;4.10;142092;8569.34;0.00;Amazon Digital Services,  Inc,;0;Romance
