Publishing_Year;Book_Name;Author;Language_Code;Author_Rating;Book_Average_Rating;Book_Ratings_Count;Genre_new;Gross_sales/ Bruttoumsatz;Publisher_Revenue;Publisher;Verfilmt
1975;Beowulf;Unknown, Seamus Heaney;en-US;Novice;3,42;155.903;Classic;34.160,00 Ä;20.496,00 Ä;Harper;Ja
1987;Batman: Year One;Frank Miller, David Mazzucchelli, Richmond Lewis, Dennis O'Neil;eng;Intermediate;4,23;145.267;Graphic Novel / Comic;12.437,50 Ä;7.462,50 Ä;Harper;Ja 
2015;Go Set a Watchman;Harper Lee;eng;Novice;3,31;138.669;Literary Fiction;47.795,00 Ä;28.677,00 Ä;Amazon Digital Services,  Inc,;Nein
2008;When You Are Engulfed in Flames;David Sedaris;en-US;Intermediate;4,04;150.898;Non-Fiction;41.250,00 Ä;24.750,00 Ä;Hachette;Nein
2011;Daughter of Smoke & Bone;Laini Taylor;eng;Intermediate;4,04;198.283;Fantasy;37.952,50 Ä;22.771,50 Ä;Penguin;Ja
2015;Red Queen;Victoria Aveyard;eng;Intermediate;4,08;83.354;Fantasy;19.960,00 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
2011;The Power of Habit;Charles Duhigg;eng;Intermediate;4,03;155.977;Non-Fiction;27.491,67 Ä;16.495.002,00 Ä;Harper;Nein
1994;Midnight in the Garden of Good and Evil;John Berendt;eng;Intermediate;3,9;167.997;Non-Fiction;26.182,00 Ä;15.709,20 Ä;Hachette;Ja
2012;Hopeless;Colleen Hoover;eng;Intermediate;4,34;189.938;Romance;26.093,67 Ä;15.656.202,00 Ä;Harper;Nein
1905;A Little Princess;Frances Hodgson Burnett, Nancy Bond;eng;Intermediate;4,2;199.872;Childrenís;23.792,34 Ä;14.275.404,00 Ä;Random;Ja
2004;The Truth About Forever;Sarah Dessen;en-US;Intermediate;4,13;179.415;Romance;17.964,00 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
1954;The horse and his boy;C,S, Lewis;eng;Intermediate;3,9;189.671;Fantasy;21.564,00 Ä;12.938,40 Ä;Penguin;Ja
2010;Last Sacrifice ;Richelle Mead;eng;Famous;4,42;206.792;Fantasy;3.431,34 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
1935;Little House on the Prairie;Laura Ingalls Wilder, Garth Williams;eng;Intermediate;4,18;195.424;Historical Fiction;6.897,34 Ä;4.138.404,00 Ä;Harper;Ja
1922;The Velveteen Rabbit;Margery Williams Bianco, William   Nicholson;eng;Intermediate;4,29;173.469;Childrenís;21.797,82 Ä;13.078.692,00 Ä;Random;Ja
1974;Zen and the Art of Motorcycle Maintenance;Robert M, Pirsig;eng;Intermediate;3,76;139.411;Non-Fiction;16.297,34 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
1897;The War of the Worlds;H,G, Wells, Arthur C, Clarke;eng;Intermediate;3,8;159.752;Science Fiction;15.968,00 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
2006;Pretty Little Liars;Sara Shepard;en-US;Intermediate;3,9;156.328;Mystery / Thriller;15.968,00 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
1948;Corduroy;Don Freeman;en-US;Intermediate;4,28;160.860;Childrenís;6.234,67 Ä;3.740.802,00 Ä;Simon and Schuster Digital Sales Inc;Ja
2006;The Omnivore's Dilemma;Michael Pollan;eng;Intermediate;4,17;133.271;Non-Fiction;3.035,34 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
2013;Life After Life;Kate Atkinson;eng;Intermediate;3,74;138.454;Literary Fiction;11.702,67 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
2000;The Rescue;Nicholas Sparks;en-US;Intermediate;4,1;142.092;Romance;8.569,34 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
1991;Needful Things;Stephen King;en;Intermediate;3,87;153.821;Mystery / Thriller;2.772,00 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
1993;Voyager;Diana Gabaldon;eng;Intermediate;4,38;157.395;Historical Fiction;8.171,67 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
1996;Hamlet;William Shakespeare;eng;Intermediate;4,12;156.869;classic;2.639,34 Ä;1.583.604,00 Ä;Amazon Digital Services,  Inc,;ja
1981;Cujo;Stephen King;spa;Intermediate;3,65;158.215;Mystery / Thriller;7.774,00 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
1993;The Virgin Suicides;Jeffrey Eugenides;eng;Intermediate;3,83;159.249;Literary Fiction;26.904,06 Ä;16.142.436,00 Ä;Penguin;Ja
2004;Dead to the World;Charlaine Harris;eng;Intermediate;4,13;199.572;Mystery / Thriller;2.376,00 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
1891;Tess of the d'Urbervilles: A Pure Woman Faithfully Presented;Thomas Hardy, Tim Dolin, Margaret R, Higonnet;eng;Intermediate;3,77;171.599;Classic (Literary Fiction);9.576,00 Ä;5.745,60 Ä;Hachette;Ja
1856;Madame Bovary;Gustave Flaubert, Margaret Mauldon, Malcolm Bowie, Mark Overstall;eng;Intermediate;3,64;158.877;Classic (Literary Fiction);9.308,67 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
1961;The Phantom Tollbooth;Norton Juster, Jules Feiffer;en-US;Intermediate;4,22;178.432;Childrenís;4.509,34 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
2010;The Way of Kings;Brandon Sanderson;eng;Famous;4,64;144.822;Fantasy;2.178,00 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
2003;Club Dead;Charlaine Harris;en-GB;Intermediate;4,03;181.323;Mystery / Thriller;13.178,00 Ä;7.906,80 Ä;Harper;Nein
2006;It's Kind of a Funny Story;Ned Vizzini;en-US;Intermediate;4,14;161.001;Non-Fiction (Memoir);2.045,34 Ä;1.227.204,00 Ä;Harper;Ja
2007;The Well of Ascension;Brandon Sanderson;eng;Intermediate;4,35;598.650;Fantasy;17.980,00 Ä;10.788,00 Ä;Random;nein
2015;After You;Jojo Moyes;eng;Intermediate;3,7;99.342;Romance;1.964,16 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
2011;The Language of Flowers;Vanessa Diffenbaugh;eng;Intermediate;4,07;140.076;Literary Fiction;1.964,16 Ä;1.178.496,00 Ä;Amazon Digital Services,  Inc,;Nein
1986;Batman: The Dark Knight Returns;Frank Miller, Klaus Janson, Lynn Varley;eng;Intermediate;4,25;135.979;Graphic Novel / Comic;1.949,31 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
2005;The Angel Experiment;James Patterson;eng;Intermediate;4,08;172.302;Mystery / Thriller;1.949,31 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
1995;High Fidelity;Nick Hornby;eng;Intermediate;3,94;134.849;Literary Fiction;20.309,55 Ä;12.185,73 Ä;Random;Ja
2003;The Guardian;Nicholas Sparks;en-US;Intermediate;4,14;136.427;Romance;1.873,08 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
2003;Oryx and Crake;Margaret Atwood;eng;Intermediate;4;151.500;Science Fiction;7.485,24 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
1998;Men Are from Mars, Women Are from Venus Book of Days: 365 Inspirations to Enrich Your Relationships;John Gray;en-US;Intermediate;3,52;113.915;Non-Fiction;3.703,39 Ä;2.222.034,00 Ä;Amazon Digital Services,  Inc,;Nein
2000;Kitchen Confidential: Adventures in the Culinary Underbelly;Anthony Bourdain;eng;Intermediate;4;134.177;Non-Fiction;11.057,54 Ä;6.634.524,00 Ä;Harper;Ja
1999;Timeline;Michael Crichton;en-US;Intermediate;3,83;148.563;Science Fiction;12.791,70 Ä;7.675,02 Ä;Amazon Digital Services,  Inc,;Ja
1759;Candide;Voltaire;eng;Intermediate;3,76;151.471;Classic (Literary Fiction);8.982,00 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
1975;Tuck Everlasting;Natalie Babbitt;eng;Intermediate;3,85;174.280;Childrenís;3.582,00 Ä;2.149,20 Ä;Amazon Digital Services,  Inc,;Ja
1983;Christine;Stephen King, Marie Milpois;fre;Intermediate;3,72;151.160;Mystery / Thriller;1.766,16 Ä;1.059.696,00 Ä;Amazon Digital Services,  Inc,;Ja
1960;Are You My Mother?;P,D, Eastman;eng;Intermediate;4,16;174.204;Childrenís;10.596,31 Ä;6.357.786,00 Ä;Penguin;Nein
1950;The Story of Art;E,H, Gombrich;en-US;Intermediate;3,83;164.708;Non-Fiction;15.058,27 Ä;9.034.962,00 Ä;Hachette;Nein
2013;Scarlet;Marissa Meyer;eng;Intermediate;4,3;193.766;Young Adult;1.720,62 Ä;1.032.372,00 Ä;Amazon Digital Services,  Inc,;Nein
1997;Rich Dad , Poor Dad;Robert T, Kiyosaki;eng;Intermediate;3,95;153.764;Non-Fiction;1.705,77 Ä;1.023.462,00 Ä;Random;Nein
2011;Silence ;Becca Fitzpatrick;eng;Intermediate;4,16;190.722;Young Adult;8.517,93 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
2009;The Magicians;Lev Grossman;eng;Novice;3,47;147.908;Fantasy;1.675,08 Ä;1.005.048,00 Ä;Macmillan;Ja
2003;A Great and Terrible Beauty;Libba Bray;eng;Intermediate;3,79;173.613;Young Adult;4.966,39 Ä;2.979.834,00 Ä;Penguin;Ja
2002;Everything Is Illuminated;Jonathan Safran Foer;eng;Intermediate;3,9;131.492;Literary Fiction;1.629,54 Ä;977.724,00 Ä;Amazon Digital Services,  Inc,;Ja
1986;The Bourne Supremacy;Robert Ludlum;en-US;Intermediate;4,09;142.168;Mystery / Thriller;17.783,30 Ä;10.669,98 Ä;Penguin;Ja
2012;Easy;Tammara Webber;en-CA;Intermediate;4,11;133.937;Romance;1.613,70 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
1849;David Copperfield;Charles Dickens, Jeremy Tambling;eng;Intermediate;3,96;150.512;Classic (Literary Fiction);18.394,85 Ä;11.036,91 Ä;Hachette;Ja
2007;The Absolutely True Diary of a Part-Time Indian;Sherman Alexie, Ellen Forney;eng;Intermediate;4,11;160.607;Young Adult;10.384,00 Ä;6.230,40 Ä;Random;Nein
1968;A Wizard of Earthsea;Ursula K, Le Guin;en-US;Intermediate;3,99;155.042;Fantasy;4.707,00 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
2000;Because of Winn-Dixie;Kate DiCamillo, Chris Sheban;eng;Intermediate;4;154.476;Childrenís;1.522,62 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
1959;A Separate Peace;John Knowles;en-US;Intermediate;3,56;155.901;Literary Fiction;5.924,47 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
1995;The Rainmaker;John Grisham;eng;Intermediate;3,91;137.412;Mystery / Thriller;12.040,93 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
1605;Don Quijote de La Mancha;Miguel de Cervantes Saavedra, Roberto Gonz√É¬°lez Echevarr√É¬≠a, John Rutherford;eng;Intermediate;3,85;134.931;Classic (Literary Fiction);13.413,08 Ä;8.047.848,00 Ä;Hachette;Ja
